"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:27:49 GMT 2024","Wed Jul 17 17:27:51 GMT 2024","1685","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jul 17 17:27:52 GMT 2024","Wed Jul 17 17:27:53 GMT 2024","1086","test","test_hootel","TestHootel","","","test_hotel_list",""
