"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:27:31 GMT 2024","Wed Jul 17 17:27:32 GMT 2024","1084","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Wed Jul 17 17:27:28 GMT 2024","Wed Jul 17 17:27:30 GMT 2024","1584","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
